hash,evaluator,answer,evaluator_type,start_time,end_time,duration,fluency,adequacy
4773e1ba7746bccde9e600ac3abb715ab61868ac,Expert 1,78,Student,2025-02-28T16:12:45.079Z,2025-02-28T16:13:34.393Z,49.314,,
4773e1ba7746bccde9e600ac3abb715ab61868ac,Expert 2,90,Student,2025-02-28T18:38:48.895Z,2025-02-28T18:39:22.224Z,33.329,,
4773e1ba7746bccde9e600ac3abb715ab61868ac,Expert 3,80,Student,2025-02-28T18:14:51.754Z,2025-02-28T18:43:35.969Z,1724.215,,
2af92ba457bcf166cd9f1bad78f0a04782f2978f,Expert 1,17,Student,2025-02-28T15:53:37.395Z,2025-02-28T15:53:44.732Z,7.337,,
2af92ba457bcf166cd9f1bad78f0a04782f2978f,Expert 3,1,Student,2025-02-28T18:33:16.318Z,2025-02-28T18:33:45.644Z,29.326,,
2af92ba457bcf166cd9f1bad78f0a04782f2978f,Expert 2,45,Student,2025-02-28T18:33:43.018Z,2025-02-28T18:33:47.409Z,4.391,,
627af443c5ade76c682f9363c7499cf370207476,Expert 2,99,Student,2025-03-01T08:52:55.693Z,2025-03-01T08:53:03.409Z,7.716,,
627af443c5ade76c682f9363c7499cf370207476,Expert 1,95,Student,2025-03-01T22:16:53.164Z,2025-03-01T22:17:04.875Z,11.711,,
627af443c5ade76c682f9363c7499cf370207476,Expert 3,67,Student,2025-03-01T22:33:43.983Z,2025-03-01T22:34:01.279Z,17.296,,
20af7bb6971f087b4f24782699aa158f0187514a,Expert 2,34,Student,2025-03-01T09:28:01.671Z,2025-03-01T09:28:06.538Z,4.867,,
20af7bb6971f087b4f24782699aa158f0187514a,Expert 1,7,Student,2025-03-01T21:58:23.271Z,2025-03-01T21:58:32.806Z,9.535,,
20af7bb6971f087b4f24782699aa158f0187514a,Expert 3,5,Student,2025-03-01T22:44:34.622Z,2025-03-01T22:44:56.353Z,21.731,,
db714b9d220b9460a013913641ebcd944cf3daf6,Expert 2,88,Student,2025-03-01T08:34:02.612Z,2025-03-01T08:34:20.849Z,18.237,,
db714b9d220b9460a013913641ebcd944cf3daf6,Expert 1,79,Student,2025-03-01T22:19:53.075Z,2025-03-01T22:20:05.091Z,12.016,,
db714b9d220b9460a013913641ebcd944cf3daf6,Expert 3,58,Student,2025-03-01T22:36:52.718Z,2025-03-01T22:37:29.344Z,36.626,,
5fed58786510ad0682b40692d488475832666b77,Expert 2,99,Student,2025-03-01T08:49:39.664Z,2025-03-01T08:52:05.409Z,145.745,,
5fed58786510ad0682b40692d488475832666b77,Expert 1,92,Student,2025-03-01T21:57:03.137Z,2025-03-01T21:57:17.009Z,13.872,,
5fed58786510ad0682b40692d488475832666b77,Expert 3,68,Student,2025-03-01T22:10:12.011Z,2025-03-01T22:11:13.302Z,61.291,,
df12d705e368f959fcf73a64f38e748973d5efee,Expert 2,39,Student,2025-03-01T08:56:57.695Z,2025-03-01T08:57:16.339Z,18.644,,
df12d705e368f959fcf73a64f38e748973d5efee,Expert 1,96,Student,2025-03-01T21:37:03.323Z,2025-03-01T21:37:20.894Z,17.571,,
df12d705e368f959fcf73a64f38e748973d5efee,Expert 3,68,Student,2025-03-01T22:26:24.843Z,2025-03-01T22:26:56.98Z,32.137,,
b2ca5f8629a7b5fb2477fa68c53f496a42add35f,Expert 2,97,Student,2025-03-01T09:28:44.194Z,2025-03-01T09:28:52.669Z,8.475,,
b2ca5f8629a7b5fb2477fa68c53f496a42add35f,Expert 3,80,Student,2025-03-01T22:02:04.018Z,2025-03-01T22:02:31.889Z,27.871,,
b2ca5f8629a7b5fb2477fa68c53f496a42add35f,Expert 1,96,Student,2025-03-01T22:15:11.357Z,2025-03-01T22:15:18.682Z,7.325,,
d9b5deb24c0ce29dae61acabc49c7a5efdd2e29d,Expert 2,38,Student,2025-03-01T09:45:50.032Z,2025-03-01T09:46:05.76Z,15.728,,
d9b5deb24c0ce29dae61acabc49c7a5efdd2e29d,Expert 1,90,Student,2025-03-01T21:44:18.589Z,2025-03-01T21:44:29.643Z,11.054,,
d9b5deb24c0ce29dae61acabc49c7a5efdd2e29d,Expert 3,89,Student,2025-03-01T21:56:49.847Z,2025-03-01T21:57:30.457Z,40.61,,
c0cba93840432e5476f93796ed6222493492293f,Expert 2,99,Student,2025-03-01T08:56:38.481Z,2025-03-01T08:56:49.099Z,10.618,,
c0cba93840432e5476f93796ed6222493492293f,Expert 1,91,Student,2025-03-01T22:17:14.336Z,2025-03-01T22:17:23.789Z,9.453,,
c0cba93840432e5476f93796ed6222493492293f,Expert 3,91,Student,2025-03-01T22:35:07.911Z,2025-03-01T22:35:53.139Z,45.228,,
ea00b901da45c5edee7d1ab2689e589b3ef42099,Expert 2,87,Student,2025-03-01T08:56:14.15Z,2025-03-01T08:56:18.229Z,4.079,,
ea00b901da45c5edee7d1ab2689e589b3ef42099,Expert 1,95,Student,2025-03-01T21:48:41.323Z,2025-03-01T21:48:46.667Z,5.344,,
ea00b901da45c5edee7d1ab2689e589b3ef42099,Expert 3,67,Student,2025-03-01T22:39:24.812Z,2025-03-01T22:39:52.576Z,27.764,,
79050668ea67e5002f3981ab670c7daa3a0fad94,Expert 2,7,Student,2025-03-01T09:13:39.948Z,2025-03-01T09:13:46.589Z,6.641,,
79050668ea67e5002f3981ab670c7daa3a0fad94,Expert 1,55,Student,2025-03-01T21:56:03.671Z,2025-03-01T21:56:13.934Z,10.263,,
79050668ea67e5002f3981ab670c7daa3a0fad94,Expert 3,15,Student,2025-03-01T21:55:52.244Z,2025-03-01T21:56:38.028Z,45.784,,
847d7d0b13b47a8152f4025bf6c94134a4ab7f41,Expert 2,13,Student,2025-03-01T09:09:44.475Z,2025-03-01T09:09:52.366Z,7.891,,
847d7d0b13b47a8152f4025bf6c94134a4ab7f41,Expert 1,90,Student,2025-03-01T22:16:46.652Z,2025-03-01T22:16:53.045Z,6.393,,
847d7d0b13b47a8152f4025bf6c94134a4ab7f41,Expert 3,67,Student,2025-03-01T22:34:53.408Z,2025-03-01T22:35:07.817Z,14.409,,
184ba6f68a9c465352b3c635da0b3ad6b5112861,Expert 2,90,Student,2025-03-01T09:18:06.855Z,2025-03-01T09:18:13.875Z,7.02,,
