hash,evaluator,evaluator_type,answer,fluency,adequacy
57e60fd0f3c2bc5db981932029e4cb61aaee3973,gemini-3-flash-preview,llm,,94,100
178e12ac4d79fee78aff341a112d5c260b42dc83,gemini-3-flash-preview,llm,,95,100
54aa3ca2cf245aa80e7f475c028576564d919adf,gemini-3-flash-preview,llm,,98,95
db44a1f6c012abacaf118010fb999753b20e2497,gemini-3-flash-preview,llm,,68,100
9f19bdf601078d43ede28b32cbfa7259ff639f7f,gemini-3-flash-preview,llm,,68,95
aacfaac7dff68ea81e60e5b10cdf425353e106cd,gemini-3-flash-preview,llm,,95,100
61fc044c8f25ed4254827befd0acb42e099e1f7e,gemini-3-flash-preview,llm,,96,100
fce9c9a4e18368663e9fbafb6a9a8f2974c6b7dc,gemini-3-flash-preview,llm,,96,98
45725dce134a1b9ae520af8be765659d74e0131f,gemini-3-flash-preview,llm,,98,95
3f4c40a5476e647e9e45c3438f7495763f53bf32,gemini-3-flash-preview,llm,,96,95
4f2ba5ffe538add7e52f92167766cc9d05244c1a,gemini-3-flash-preview,llm,,92,75
a14ace772e89d5deebd039d70b74022caf520fc2,gemini-3-flash-preview,llm,,88,78
652de0de7fc7cd9d37db245fa24234522edcbd6e,gemini-3-flash-preview,llm,,95,85
00dc945f2fa14ffab7869c3c25ab6584848aa316,gemini-3-flash-preview,llm,,60,70
a7d23488534cae8614df41319066d2fd3c06204d,gemini-3-flash-preview,llm,,95,95
cf29b610c6c5040cdb7393a14f39f2a24488cb2f,gemini-3-flash-preview,llm,,70,75
7c7ab4e103686c9ccf92d778c30a725c069dff02,gemini-3-flash-preview,llm,,96,100
bef75d2c9408b4ce24a22a1a6d066fa3090658d0,gemini-3-flash-preview,llm,,72,90
db4b9fef2301ff14232e211e4ec39d0e16ef78a9,gemini-3-flash-preview,llm,,95,100
f87324153a2acf43bd5dc5e586b085fcd145b12c,gemini-3-flash-preview,llm,,40,90
f3832ead0cd14256218b1939559a7cb40d8285c7,gemini-3-flash-preview,llm,,88,92
92e5b317d582e26a3db7ce9acd6add396cd6625c,gemini-3-flash-preview,llm,,94,100
fc4602bebc097c19ad4fc7d08ce38bf226c5c8cc,gemini-3-flash-preview,llm,,48,60
56262c2458844a97ea7c11eb4842e77bbafa9986,gemini-3-flash-preview,llm,,72,95
44aa3ada83e93c96a29df7c70643464989def052,gemini-3-flash-preview,llm,,92,15
f84a1df26ae7c4a7aef3f160d09391adc231a29b,gemini-3-flash-preview,llm,,95,100
973373b20d6219e003b8de9fc46c1c9d399cff47,gemini-3-flash-preview,llm,,95,92
47b94a5a5aa8986e726bab69304cb0c7ca1e82e0,gemini-3-flash-preview,llm,,85,95
f7fc3aae0e8e4400424b07ada80e7fea000dc284,gemini-3-flash-preview,llm,,98,88
f7dccbe1e84b38eba44498f533b54578a566e5eb,gemini-3-flash-preview,llm,,68,100
48fb6f3b463fc32589f786bea14d21db376b9748,gemini-3-flash-preview,llm,,95,92
7cd3a49adb177fb9b8b4c5526fdb69727423b4d2,gemini-3-flash-preview,llm,,94,100
e12727176863bb88b59bf8219d8f5bad218ce7f1,gemini-3-flash-preview,llm,,68,95
db9c7ed78c8080f447f0ddc3550c54d31be5302e,gemini-3-flash-preview,llm,,95,95
8d190e88d9b6a74efff4718b5a98195b22144378,gemini-3-flash-preview,llm,,85,55
1bfc8183fbad465933d2b7a97af2a5d507875502,gemini-3-flash-preview,llm,,90,92
26c03910f32938b434f4ad6e3b0be03ed919e77a,gemini-3-flash-preview,llm,,96,100
5d95c057b60c364b1a82da138e5ef7c4ef04a9de,gemini-3-flash-preview,llm,,95,95
b8290e28e6b1a148f4e6abc6feb29d472ce44e83,gemini-3-flash-preview,llm,,72,98
ba79bc783bd4e6f9f220ef0e6c4a488bfb039060,gemini-3-flash-preview,llm,,98,85
49c8742029c9794b1d7950e994a53d161209c413,gemini-3-flash-preview,llm,,92,95
a26f0b811d47c0fc1e7a77c301d38d218bf14534,gemini-3-flash-preview,llm,,96,98
6c9e7d2fa0285d6d37d544668d123babee75114e,gemini-3-flash-preview,llm,,88,95
8ac2a61feaf468196d5dda40c1a474d547c48c4b,gemini-3-flash-preview,llm,,85,95
4e688f477221591eddc9321ad965918c0eadf41d,gemini-3-flash-preview,llm,,58,72
a63f540c1b2350841bee6e25e2e0f183bfb06345,gemini-3-flash-preview,llm,,48,95
98056465db6021298ec82eadb4eccc0717fcb675,gemini-3-flash-preview,llm,,98,85
42a62bfbfed48e41d139907288ad7a6e1cba4cd9,gemini-3-flash-preview,llm,,20,75
f06fb255888634081cdd9a5d0144a00cafebb410,gemini-3-flash-preview,llm,,68,95
1ea361a005c13f54e855a8adaeed87b219554e88,gemini-3-flash-preview,llm,,95,100
b282cd5ebb4ba4ca14c40fbce0f4f8088ec0e43f,gemini-3-flash-preview,llm,,84,98
67c72f06c8aba82cc2923c20acf1176b32883c03,gemini-3-flash-preview,llm,,48,90
a30c78347e1f308da9558cbf7d7b18355f00e917,gemini-3-flash-preview,llm,,70,100
cafbd1d1cea476ba80d570e1d141368293dd41e1,gemini-3-flash-preview,llm,,98,98
7b18ff8ae46be6fcbf61e8d511079747eb75dd83,gemini-3-flash-preview,llm,,88,95
8776aef5ecdbb5e562aa4b3da4fbfafc0b9189f0,gemini-3-flash-preview,llm,,98,98
e1b8a5138e8ace5ee8ba7012e2427252fd2f961f,gemini-3-flash-preview,llm,,87,72
89339c19783627e5c16b618d62dad3df29e35389,gemini-3-flash-preview,llm,,95,75
2fbecbcb8f5d53fef3053fc938e9236ed434f3bd,gemini-3-flash-preview,llm,,42,65
40f454aebc8d49af509f9bbf3a421ac91714b0e1,gemini-3-flash-preview,llm,,95,92
ddf0b2cf4f64be17348cd42e98d3730b2f17c58c,gemini-3-flash-preview,llm,,92,100
6ef6859817c33ce96e2650cf4d7f7849b674e793,gemini-3-flash-preview,llm,,65,95
80d2b98c9d0b2a9d8281c213f10a117dd897c3e1,gemini-3-flash-preview,llm,,98,95
bdbf2c0998b3fbfdd8a4411ffdb59eaed63a594c,gemini-3-flash-preview,llm,,88,95
1a35ff973cb30fc33cc0f2cce2fda7e917091b66,gemini-3-flash-preview,llm,,98,100
3d4cd2afc234e72acc403077ba1e008e92e9e297,gemini-3-flash-preview,llm,,95,75
fe54daef77c9127bb9a300166ad1bfc4e45e1423,gemini-3-flash-preview,llm,,95,100
cee99f065364b5eee55a1eecdaa818a24f1381e5,gemini-3-flash-preview,llm,,98,98
ed4670e4dd18f27addfc1dba2571bd391859ea97,gemini-3-flash-preview,llm,,65,95
9ebb747e656c7adc349a3cfb466e9219550e4756,gemini-3-flash-preview,llm,,85,65
2af92ba457bcf166cd9f1bad78f0a04782f2978f,gemini-3-flash-preview,llm,,95,10
4773e1ba7746bccde9e600ac3abb715ab61868ac,gemini-3-flash-preview,llm,,95,88
8b7b60bc36b0cbcf47a6871303f92a9372dbbcd0,gemini-3-flash-preview,llm,,90,40
146a957459c8aee76a9e9095e0bc1e151282805d,gemini-3-flash-preview,llm,,92,100
e528e9ee577051176561f237074d88bd4c8f3a60,gemini-3-flash-preview,llm,,95,100
0c9d97489eeb68514fc355e66901d0b7a6903969,gemini-3-flash-preview,llm,,95,98
7725d4896be155d0ec8910ca4f0ce148d0c36e52,gemini-3-flash-preview,llm,,92,98
8ca9fb2dfe297f7582d71e26eafc3f9e60eba2db,gemini-3-flash-preview,llm,,85,98
d17fe7dc215db3681a95f70629631c14043d0bdb,gemini-3-flash-preview,llm,,98,100
627af443c5ade76c682f9363c7499cf370207476,gemini-3-flash-preview,llm,,98,100
