hash,evaluator_type,evaluator,score
006d9c4f67a65d9967fada5a33a7bee388e778ea,model,bicleaner_ai_score,0.694
00abec85374a10ea0f0733fc6ed83b63406705ac,model,bicleaner_ai_score,0.774
00d3e801d792ad63738f2bf5f115c2b6f6f72713,model,bicleaner_ai_score,0.479
014908466f9b88ef920f5a337b41691d42fdd7ee,model,bicleaner_ai_score,0.77
01a7e25c1b70aaf55be540de83462dc4ebfd90ce,model,bicleaner_ai_score,0.743
025220a191cd00746e235024098587096722ec86,model,bicleaner_ai_score,0.766
026a87203f9560006280d25991d7369845fd668b,model,bicleaner_ai_score,0.685
02702a4c04e3923f7300523b42d2171d6e82d01c,model,bicleaner_ai_score,0.441
02827f62db47315bf16b5144d7a1020d62bd80b3,model,bicleaner_ai_score,0
028285cd8ea3650c692b577128e5695bc695f65f,model,bicleaner_ai_score,0.746
0393f3d66e7f9459d0da23879d922857ab89f873,model,bicleaner_ai_score,0.775
03a86e325a4de9a461692f63214e93dd80e5815a,model,bicleaner_ai_score,0.44
03b5ffcdc1cb1dec54913773c14448b5bf978215,model,bicleaner_ai_score,0.759
0458ad4dfbde833d00f379bb93fffdae2e43067a,model,bicleaner_ai_score,0.722
0586c348039debf5d3cfe1ebfa23a7710b7f417f,model,bicleaner_ai_score,0.751
05ac137df4953aa61d8c54f20ee5868e468719ac,model,bicleaner_ai_score,0.771
060579c748deb692d1ff2fbd638d70074627f27f,model,bicleaner_ai_score,0.733
064f1c01742a7177ac067aed943880e979fe327e,model,bicleaner_ai_score,0
0682924fcecc79694dd556e943e50f5e197de52f,model,bicleaner_ai_score,0.514
068de6672b6e8811504da07ee73782171f09c778,model,bicleaner_ai_score,0.775
06aee728284a6f06a776848b0e14022ab7bffd85,model,bicleaner_ai_score,0.774
06e4e1392574db07353b1ac6e16970dc01196b33,model,bicleaner_ai_score,0.65
06fbe09c6be14d4aa2d8ac2e2bb6462bc578aba6,model,bicleaner_ai_score,0
0746ebc49d7a634888072e852c5e4fc28dd62b84,model,bicleaner_ai_score,0.766
0788ddede6418749303137efa2046f012b83ac99,model,bicleaner_ai_score,0.544
07d0763ce73e651b06156a36f39611c25c711610,model,bicleaner_ai_score,0.776
0897fb5380bb620907ddc7917fdc86552f1875ae,model,bicleaner_ai_score,0.774
08bbb49cd73c56f1befd84a3e78f42929423172f,model,bicleaner_ai_score,0.775
09a09abf254bebadf0414cdec09295097efd0a8e,model,bicleaner_ai_score,0
