"Expert","Average Time (s)","ICC","ICC (CI)","Bias","Bias (CI)","Paired T","P value","First–last batch interval"
"Expert 4","15.40","0.21","(-0.07; 0.46)","-10.50","(-73.03; 52.03)",2.33,0.024,7.3
"Expert 5","43.50","0.55","(0.32; 0.72)","16.68","(-26.80; 60.16)",-5.32,2.6e-06,8.2
"Expert 6","19.90","0.58","(0.36; 0.74)","4.92","(-28.83; 38.67)",-2.02,0.049,9.7
"Expert 7","41.50","0.83","(0.72; 0.90)","12.20","(-14.71; 39.11)",-6.28,8.6e-08,10
"Expert average","NA","0.85","(0.75; 0.91)","5.83","(-11.84; 23.49)",-4.57,3.3e-05,NA
"Expert 8","28.00","0.69","(0.51; 0.81)","5.76","(-30.13; 41.65)",-2.22,0.031,7.2
"Expert 9","38.60","0.78","(0.64; 0.87)","17.60","(-6.64; 41.84)",-10.06,1.6e-13,6.1
"Expert 10","34.40","0.65","(0.46; 0.79)","18.14","(-23.76; 60.04)",-6,2.3e-07,9.8
"Expert 12","20.30","0.76","(0.61; 0.86)","7.16","(-20.14; 34.46)",-3.64,0.00067,1.3
"Expert average","NA","0.86","(0.77; 0.92)","12.16","(-5.96; 30.29)",-9.3,2.1e-12,NA
"Expert 8","28.00","0.62","(0.42; 0.77)","9.64","(-32.48; 51.76)",-3.17,0.0026,7.2
"Expert 9","38.60","0.62","(0.42; 0.77)","12.60","(-15.37; 40.57)",-6.24,9.8e-08,6.1
"Expert 10","34.40","0.46","(0.21; 0.66)","16.60","(-35.75; 68.95)",-4.39,5.9e-05,9.8
"Expert 12","20.30","0.63","(0.43; 0.77)","14.74","(-21.69; 51.17)",-5.61,9.4e-07,1.3
"Expert average","NA","0.79","(0.66; 0.88)","13.39","(-9.50; 36.29)",-8.11,1.3e-10,NA
