"group","ICC","ICC_lower_bound","ICC_upper_bound","ICC_p","ICC_F"
"Students",0.567780226794806,0.527897627675367,0.606385083427496,1.27422396487575e-143,4.93535495299165
"Experts",0.715425404801918,0.690055508925696,0.739593627024206,0,8.53466458205387
"Adequacy",0.661909478585634,0.6360535494676,0.687145508773491,0,8.82421230327411
"Fluency",0.590074012785186,0.561145225906958,0.618618659705994,0,6.75242678536288
"2 Cometkiwi+Wmt22",0.855766031663149,0.838453018741359,0.871724618831743,0,18.7744688837254
"Xcomet+Metricx24",0.800706071323789,0.772660872059362,0.825631312467364,4.48080694216985e-160,9.0241111368005
"No bicleaner_ai_score",0.693720842555052,0.668672432945271,0.718535336180363,0,19.0944410772146
"LLM",0.822662494572524,0.755812505587103,0.866915925581071,4.61649406670028e-30,17.9490171055169
"LLM fluency",0.676564766396333,0.569587802650178,0.751918528693003,5.41726795099967e-19,8.83506029290868
"LLM adequacy",0.798481644814176,0.720762105625321,0.849639834701134,5.7986308558415e-26,15.6551181653119
